"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","CellLine"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB1","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",142,0.650877959337159,2.53677470370013,1e-10,2.5e-09,1.15789473684211e-09,2044,"tags=43%, list=15%, signal=37%","4791/7422/5971/3491/5329/25816/3433/1326/7128/6347/9322/1847/8613/9120/8013/8553/182/8877/4088/1958/10950/10135/1843/3460/1051/23529/4609/4616/2353/4792/55332/595/467/687/3164/10209/5966/2669/6303/9021/3726/5271/3949/7127/10957/694/23764/9242/650/1942/9592/1647/50486/5209/3725/6515/1316/79693/1052/3659/2355","I27"
"HALLMARK_HYPOXIA1","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",149,0.578057778992654,2.27970056888823,1e-10,2.5e-09,1.15789473684211e-09,2963,"tags=44%, list=22%, signal=35%","7422/3099/133/3491/5329/2584/7128/8614/2027/9469/2645/2203/2821/5033/8553/8459/1356/3219/8987/302/10370/1843/1466/2353/10397/3309/272/467/6513/284119/5163/8406/10957/694/23764/2632/1942/54206/55139/2908/54541/5209/5507/3725/6515/1316/2023/2745/6781/3036/2355/55818/25819/7538/7045/665/126792/7167/1026/7511/9435/7852/55076/901/1027/8974","I27"
"HALLMARK_MYC_TARGETS_V11","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",179,0.498435045138026,2.00199641017167,8.4575581075853e-09,1.40959301793088e-07,6.5286413462062e-08,4070,"tags=46%, list=30%, signal=33%","5706/6627/6637/6742/3251/10987/890/10399/26135/2107/6188/4609/3192/6741/5036/3178/4174/5713/8454/6950/10492/26986/11335/11331/6164/5683/3608/3184/5682/4175/55651/7555/6059/6128/6141/6194/10549/54107/3015/1982/5690/5887/7416/6427/3336/10146/10528/10213/2058/6146/4830/5901/51020/7419/56910/5093/23016/5984/2079/3066/6626/3068/7514/3326/23435/4869/10921/3329/6426/11137/6432/5688/3735/5714/4173/6175/6599/1478/26354/4673/1665/9868","I27"
"HALLMARK_INFLAMMATORY_RESPONSE1","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",91,0.566231323649682,2.0786560442077,3.1668025635676e-07,3.9585032044595e-06,1.8334120104865e-06,3078,"tags=52%, list=22%, signal=40%","133/5329/4067/6347/8809/3600/10242/728/5732/6869/5025/8877/7076/1902/684/166929/10135/3460/255488/4609/4792/6004/3949/1317/6542/3091/6376/55829/10006/1316/7855/9180/3659/1536/131566/3566/27032/6717/1026/4084/3690/9435/3383/5894/3738/10125/8671","I27"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",137,0.511746615635888,1.98368735119689,5.76678631930635e-07,5.76678631930635e-06,2.67093261104715e-06,2589,"tags=34%, list=19%, signal=28%","7422/59/3491/5329/7049/1303/7128/5352/2335/3600/6876/4016/1296/3693/3956/11167/7076/7431/7169/7168/51330/4616/5654/8038/26577/3688/871/2669/6303/3915/649/1647/5744/115908/7857/3725/1307/7456/813/6444/7045/4638/2619/1292/4313/5270","I27"
"HALLMARK_INTERFERON_GAMMA_RESPONSE1","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",115,0.522179427329654,1.97905453832659,1.00303149260181e-06,8.35859577168178e-06,3.8713496205684e-06,3231,"tags=48%, list=23%, signal=37%","3433/7128/6347/3600/3437/54625/6737/4599/5771/10561/684/567/5359/10135/3106/81894/64761/3434/51056/55008/4792/3394/26524/9021/7127/972/694/5683/256586/3091/3660/55016/10124/10797/57162/10437/3659/4615/5690/3566/29126/9961/84159/6772/6717/1026/3383/841/6775/84888/10068/5214/8651/9636/91543","I27"
"HALLMARK_INTERFERON_ALPHA_RESPONSE1","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",56,0.598240843832045,2.0237148968332,9.98240331577216e-06,7.1302880826944e-05,3.30244921724793e-05,731,"tags=29%, list=5%, signal=27%","3433/3600/3437/54625/6737/4599/55603/2634/10561/684/567/5359/81894/64761/51056/55008","I27"
"HALLMARK_MYOGENESIS1","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",132,0.454209563774796,1.76402840151473,3.76074293852065e-05,0.00023504643365754,0.000108863611378229,3526,"tags=43%, list=26%, signal=32%","2065/4303/10174/347/8614/2027/3490/6876/11155/3693/8553/8877/26353/7169/688/1974/4616/10468/2273/8038/58/948/3688/165/9144/23604/2934/1266/2878/5740/5091/5507/7135/9260/6764/6444/2224/4638/2170/1292/1026/4205/7170/140465/1012/5925/5621/8736/23175/7164/1839/844/65055/11345/1756/4641/6300","I27"
"HALLMARK_MTORC1_SIGNALING1","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",181,0.414840036755854,1.66739920227914,0.000120827913830996,0.000671266187949977,0.000310902234418937,3890,"tags=45%, list=28%, signal=33%","3099/5352/5706/2821/5033/8553/3251/7184/10987/10135/27101/2107/7323/5861/54843/10452/3309/6513/11333/871/5163/6652/908/3949/3638/9521/3313/5701/23478/2632/2717/134429/3417/10797/54541/5464/6515/2023/2745/6781/10437/3336/9415/3308/7277/516/10213/2058/6510/7167/7283/1026/5641/441024/7852/23657/10622/7374/6472/10989/9368/10962/26136/30001/3157/23753/226/23760/51569/7453/3329/26227/5718/900/5693/4173/3422/6533/23645/4074/4048","I27"
"HALLMARK_APOPTOSIS1","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",117,0.461194748011489,1.74695382287447,0.000166879131180893,0.000758541505367698,0.000351324486696618,2947,"tags=37%, list=21%, signal=29%","2065/7049/3148/7465/4739/7076/10950/5330/8682/2107/51330/552/4616/1806/7042/595/467/6303/6574/8900/5366/650/2934/2878/3082/1647/3725/672/3659/3489/7417/9638/27250/6093/4170/665/150209/4313/1026/841/90427/1027/56172","I27"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE1","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",104,0.470628612682031,1.74687811055214,0.000159835981660958,0.000758541505367698,0.000351324486696618,2448,"tags=32%, list=18%, signal=26%","7422/8614/6347/7184/4801/1974/1051/3434/6464/10954/5393/4189/10605/3309/467/9531/3799/55062/79094/3313/23478/55651/4848/1054/167227/10797/54541/6208/58477/56915/10528/51013/64859","I27"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION1","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",185,0.406130830211687,1.63959049093052,0.000194993057873747,0.000812471074473947,0.000376302392387933,4200,"tags=44%, list=31%, signal=31%","10449/2821/8803/8992/2746/529/65003/55288/4729/1528/518/56898/9131/521/4724/10651/1351/4714/23530/1743/11331/498/3032/3313/2230/4718/64981/3030/4259/3417/6389/9296/4942/7417/7416/23203/6391/292/10975/4695/4712/516/4129/4694/2110/513/9550/4708/5264/4697/27089/7419/5018/10063/10989/4720/593/2108/1738/64960/1349/80273/1892/4552/4726/23479/515/4713/2395/8802/29796/506/4190/27429/64963/9868/10939/3945/1347/537/56993","I27"
"HALLMARK_IL2_STAT5_SIGNALING1","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",136,0.443495346647927,1.72074511726424,0.000230619319239068,0.000886997381688722,0.00041081983994004,3581,"tags=44%, list=26%, signal=33%","3099/1326/2027/8809/5732/5025/5033/8553/5359/4609/4616/10397/3394/26018/6004/57157/1154/23764/158219/650/5325/9144/2184/3177/191/5045/10124/6515/1316/79026/5745/23710/253558/3566/80324/975/898/5727/6510/5583/7074/10924/4084/4643/9446/9249/1893/8651/27242/1435/5621/123/3685/58528/8835/22822/254013/4641/3604/9261","I27"
"HALLMARK_COMPLEMENT1","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",112,0.459699079362226,1.73075257436712,0.000295133945589954,0.00105404980567841,0.000488191488945789,3039,"tags=36%, list=22%, signal=28%","5329/4067/7128/2335/1847/4504/7076/2157/1356/5359/5216/1051/9986/51056/3309/948/2764/5516/23764/2820/1514/1465/2230/3988/3660/1520/2783/3659/2771/1608/868/5547/5580/11216/7511/5641/5894/9101/1012/10125","I27"
"HALLMARK_ALLOGRAFT_REJECTION1","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",82,0.487734859735683,1.75388224500229,0.000332886419345341,0.0011096213978178,0.000513929910568246,3570,"tags=43%, list=26%, signal=32%","4067/9607/6347/3600/7076/2634/567/3460/3702/3394/7042/972/8444/3091/10006/1520/11146/6059/672/11222/8560/3566/6133/6772/6223/4830/3383/6775/2650/8651/1435/9655/4869/2589/7453","I27"
"HALLMARK_ANGIOGENESIS1","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",22,0.693646843217846,1.93563048483675,0.000424420114374885,0.00132631285742152,0.000614292270805755,430,"tags=27%, list=3%, signal=26%","7422/7056/11167/182/7076/4023","I27"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS1","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",63,0.473594843572759,1.63430683245549,0.00178456423439984,0.0049571228733329,0.00229593059396471,2422,"tags=32%, list=18%, signal=26%","5329/2731/182/4023/5359/55902/51330/552/51478/467/26270/3949/10957/54206/134429/6811/9415/2224/6311/22809","I27"
"HALLMARK_ANDROGEN_RESPONSE1","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",87,0.443145989262761,1.606730602754,0.00172249243494246,0.0049571228733329,0.00229593059396471,2469,"tags=29%, list=18%, signal=24%","25816/22936/567/6675/4189/9218/10397/8555/5036/595/9871/1836/6652/87/6303/9510/3638/7113/2289/51171/4824/8821/6197/6722/84159","I27"
"HALLMARK_IL6_JAK_STAT3_SIGNALING1","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",43,0.525753139921926,1.68968528416285,0.00297817699638969,0.00783730788523602,0.00362991102053037,3328,"tags=51%, list=24%, signal=39%","1326/8809/5771/3676/3460/51330/83729/948/9021/3725/3953/9180/3659/4615/3566/6772/3690/5781/8651/27242/1435/578","I27"
"HALLMARK_ESTROGEN_RESPONSE_LATE1","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",127,0.407801375476605,1.57125826721052,0.00314071722966748,0.00785179307416871,0.0036366199501413,2328,"tags=28%, list=17%, signal=23%","9536/12/51659/7263/3251/26353/10950/4602/645/3547/2353/595/429/7358/1836/6652/11031/23596/1154/8900/51083/6990/2717/2288/64215/2289/64065/4299/2013/29887/11098/2317/27250/7538/9314","I27"
"HALLMARK_FATTY_ACID_METABOLISM1","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",117,0.394766462950263,1.49533095198303,0.00620304405788697,0.0147691525187785,0.00684044958764478,2509,"tags=28%, list=18%, signal=23%","2027/10449/1579/3956/8803/1376/35/23173/3155/51478/131076/948/7358/1743/10455/3032/2572/2820/3295/644/50486/3417/6389/10961/6281/84693/2752/23710/3015/6391/594/5092/2110","I27"
"HALLMARK_UV_RESPONSE_UP1","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",133,0.390868689193287,1.5170219724575,0.00681669449663962,0.0154924874923628,0.0071754678911996,3142,"tags=31%, list=23%, signal=24%","6236/4067/7263/10950/1030/5702/3363/3192/2353/4792/467/3164/11333/3726/694/51083/650/2288/2878/1054/5045/9296/360/54107/3659/4885/1742/9129/2237/7277/1983/898/5580/3383/1119/9818/988/10125/5984/8836/3337","I27"
"HALLMARK_GLYCOLYSIS1","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",158,0.372249248606196,1.47715526072539,0.00761055817938401,0.0159129581777841,0.00737021220865789,2215,"tags=21%, list=16%, signal=18%","7422/3099/2584/5352/8614/5033/9123/10370/9514/501/6120/3309/1528/5516/64077/1824/50808/5223/2288/8702/54480/5091/55139/3417/8534/10058/54541/2023/2745/6781/5631/3925/6391","I27"
"HALLMARK_ADIPOGENESIS1","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",168,0.359509467919344,1.43518406856758,0.00763821992533636,0.0159129581777841,0.00737021220865789,4210,"tags=42%, list=31%, signal=30%","10449/369/7263/26353/4023/26994/1376/284/35/4189/2101/58472/948/284119/9131/204/1351/6239/2820/2632/2184/2878/1647/4259/3417/10124/5209/6342/29103/64225/217/25813/134147/3991/27250/6391/10975/4638/64859/6510/7351/2040/5264/27089/901/10989/6888/593/1738/51727/123/226/51635/1349/80273/1892/4713/56922/8802/26275/29796/10313/3033/6647/84522/7905/8780/1147/8491/79071/8082","I27"
"HALLMARK_E2F_TARGETS1","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",163,0.345768070713027,1.37563758703471,0.0154123175328595,0.030824635065719,0.0142766730830699,3236,"tags=34%, list=24%, signal=27%","3148/7465/2146/54962/64785/8726/1164/253714/10527/4609/7112/5983/5036/4174/4001/675/11340/204/81611/10492/29893/3184/4175/10714/6119/10664/10797/56655/672/10549/5631/3015/3925/6427/5982/4172/51747/10528/3149/898/8493/6118/7283/4830/1026/79677/5901/84316/7374/1027/5810/3835/11168/9126/29028/7514","I27"
"HALLMARK_COAGULATION1","HALLMARK_COAGULATION","HALLMARK_COAGULATION",62,0.426319149011096,1.4682337137039,0.0161585325730522,0.0310741011020235,0.014392215247253,2767,"tags=40%, list=20%, signal=32%","4319/2335/7056/378/7076/2157/2161/5654/23764/649/1465/5624/2934/5045/2783/10411/55970/9948/11098/5879/5627/4313/3690/553115/5641","I27"
"HALLMARK_UV_RESPONSE_DN1","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",125,0.354286965199313,1.36249595283221,0.0422919508867667,0.0783184275680865,0.0362737980315348,2940,"tags=29%, list=21%, signal=23%","11030/3491/7049/8613/2274/8553/4088/1902/302/10370/1843/1628/4609/3949/3915/3638/1739/2908/23576/8405/5737/5607/3397/8821/1432/23116/657/27032/594/6717/390/3690/10611/1027/1290/2650","I27"
"HALLMARK_G2M_CHECKPOINT1","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",163,0.335182839393082,1.33352426511593,0.0446194225721785,0.0796775403074616,0.0369032818266138,2603,"tags=26%, list=19%, signal=22%","51659/2146/1164/4088/890/4609/996/7112/4211/4331/3192/11104/1871/595/4174/8454/4001/675/51776/26271/10492/3799/3184/3091/4175/10951/10419/10664/3015/1432/3925/5887/6427/10146/4172/2130/3149/22809/10293/8899/6118/8452/94239","I27"
"HALLMARK_ESTROGEN_RESPONSE_EARLY1","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",142,0.340436848358327,1.32684103484206,0.0508701472556894,0.0820486246059507,0.0380014682385456,2508,"tags=25%, list=18%, signal=20%","9536/8614/4603/2274/8553/26353/4602/645/4609/2353/595/6513/26018/1836/25987/11031/23596/1154/5366/6990/6542/23541/2717/2288/2289/4299/9620/9214/360/11098/2317/9314/55638/11001/8800","I27"
"HALLMARK_P53_PATHWAY1","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",164,0.332991245712699,1.32271546247516,0.0500658761528327,0.0820486246059507,0.0380014682385456,3927,"tags=37%, list=29%, signal=27%","6236/100/8877/10399/1030/5429/2353/10397/55332/467/49856/6303/6004/25873/694/1050/11059/650/6520/64065/1647/54541/3725/6281/6141/5784/7135/10437/51065/9314/975/8493/1606/1026/4084/55766/8841/2040/2760/23657/6206/1012/51278/5925/8651/3006/7164/1839/578/6382/23479/10904/8812/64061/900/127544/9618/3094/23645/10560/5912","I27"
"HALLMARK_KRAS_SIGNALING_UP1","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",118,0.346976001162912,1.31907243531119,0.0502793296089385,0.0820486246059507,0.0380014682385456,3305,"tags=31%, list=24%, signal=24%","5329/12/347/7128/4319/83734/7805/3394/7462/25907/6004/2591/10253/650/5593/50486/1520/101/5950/79693/2745/131566/3936/9314/10912/3481/219333/55339/51704/7852/56172/22903/8854/30001/51193/58155/1839","I27"
"HALLMARK_APICAL_JUNCTION1","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",137,0.33492282885687,1.29826394338711,0.0622462787550744,0.0972598105548038,0.045046649099067,2823,"tags=28%, list=21%, signal=22%","10174/4478/9074/1265/1495/5216/2037/6251/6464/58/1001/10487/143903/3688/51776/87/649/3638/1739/6376/7781/5600/83700/1307/8976/2771/1432/29126/7045/7248/8910/4313/6624/7283/2318/3383/1004/54509","I27"
"HALLMARK_APICAL_SURFACE1","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",27,0.471553464782651,1.35457381088414,0.0724137931034483,0.109717868338558,0.0508166969147006,2442,"tags=37%, list=18%, signal=31%","5329/4067/202/8406/2947/6376/672/131566/22854/2619","I27"
"HALLMARK_HEDGEHOG_SIGNALING1","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",32,0.452063351033231,1.36078187880679,0.0780730897009967,0.114813367207348,0.0531767174434033,1810,"tags=19%, list=13%, signal=16%","7422/7088/4825/6469/9620/7857","I27"
"HALLMARK_PANCREAS_BETA_CELLS1","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",22,0.469505472395849,1.31016109141532,0.144347826086957,0.203654777631,0.0943243180606735,2895,"tags=41%, list=21%, signal=32%","26610/2645/4825/4760/23478/58477/5122/2308/6750","I27"
"HALLMARK_HEME_METABOLISM1","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",159,0.299535033946027,1.18788873048986,0.14663143989432,0.203654777631,0.0943243180606735,2849,"tags=24%, list=21%, signal=19%","22936/50865/10840/9429/51646/6386/23608/645/2996/996/8301/7716/6513/25901/23530/11163/51274/644/4259/5091/2908/10058/2730/360/831/6622/9541/23351/26020/665/56180/8273/4779/23762/7351/7150/23657/80853","I27"
"HALLMARK_DNA_REPAIR1","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",133,0.305075898722049,1.18404685364733,0.155080213903743,0.20956785662668,0.0970630072797256,3143,"tags=27%, list=23%, signal=21%","100/3251/6386/1479/5429/5983/51251/5438/5898/5422/50808/64976/1161/5557/10714/4882/7084/29901/11130/6119/23204/56655/10978/2237/5982/25920/5440/10946/6118/353/4830/10063/10189/5984/6431/10134","I27"
"HALLMARK_MYC_TARGETS_V21","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",54,0.356704792851228,1.19138079126536,0.17357910906298,0.228393564556553,0.105782282531456,3587,"tags=37%, list=26%, signal=27%","3099/4609/5036/4174/6652/11335/64216/3177/3336/56915/80324/10528/23481/23082/7374/23160/4869/92856/10171/3329","I27"
"HALLMARK_KRAS_SIGNALING_DN1","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",89,-0.275740049117503,-1.13469593274338,0.210702341137124,0.270131206586056,0.125113400945121,3129,"tags=35%, list=23%, signal=27%","5795/2593/55220/4625/3195/5164/10777/2044/1271/56997/3785/23031/8303/6712/79696/55315/6474/56154/64137/54842/2649/3351/1952/580/8085/22849/4842/3425/55277/242/3352","I27"
"HALLMARK_PROTEIN_SECRETION1","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",91,0.298261331803585,1.09492833443198,0.288762446657183,0.360953058321479,0.167178258591001,1964,"tags=15%, list=14%, signal=13%","8773/27236/9871/10282/81611/664/259230/51614/1315/2717/1211/967/8674/8775","I27"
"HALLMARK_XENOBIOTIC_METABOLISM1","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",126,0.266534216710545,1.02579006877172,0.396739130434783,0.483828207847296,0.224088854160853,2067,"tags=18%, list=15%, signal=16%","9536/2203/3251/645/4522/3394/7042/948/2948/1528/7358/29950/3083/2184/5226/191/5091/3417/6747/5950/217/22949/23710","I27"
"HALLMARK_TGF_BETA_SIGNALING1","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",47,0.318636952093726,1.03527535715606,0.420382165605096,0.493440667859273,0.228540940903242,3848,"tags=40%, list=28%, signal=29%","4088/3460/7323/11031/3726/6574/650/4053/5045/3397/657/2339/90/4092/7071/51742/387/23645/7046","I27"
"HALLMARK_MITOTIC_SPINDLE1","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",174,0.250458638120458,1.00730776029053,0.424358974358974,0.493440667859273,0.228540940903242,2892,"tags=26%, list=21%, signal=21%","4739/10163/2037/54443/996/55722/9702/11104/998/4001/675/26271/84333/140735/394/10276/9411/3799/9874/11135/23607/1739/2934/10006/29901/5829/7430/8409/11214/8976/127829/23580/2317/6093/58526/7277/7248/23012/6624/393/7074/4643/54509/5048/10611/11346","I27"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING1","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",85,0.25339837113186,0.918780661779785,0.636363636363636,0.723140495867769,0.334928229665072,3376,"tags=24%, list=25%, signal=18%","7184/5216/7323/6513/5163/9630/4615/5879/117145/6197/10094/7074/1026/7852/5894/1027/5781/5571/396/108","I27"
"HALLMARK_SPERMATOGENESIS1","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",76,0.242130287241436,0.861750540186378,0.728467153284671,0.791812123135512,0.366734035978553,1899,"tags=16%, list=14%, signal=14%","56903/3361/2146/51686/3598/8900/54558/51533/2947/673/10124/83700","I27"
"HALLMARK_NOTCH_SIGNALING1","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",27,0.289565276371648,0.831798659554443,0.71551724137931,0.791812123135512,0.366734035978553,1927,"tags=22%, list=14%, signal=19%","182/6500/595/8454/7855/10402","I27"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY1","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",39,0.22798273309444,0.718828803128321,0.8992,0.936666666666667,0.433824561403509,4015,"tags=38%, list=29%, signal=27%","3726/55829/2878/2730/2512/2745/10549/7295/4720/5214/5621/1032/475/6647/9588","I27"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING1","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",32,0.23608149544157,0.710642480051168,0.898671096345515,0.936666666666667,0.433824561403509,1386,"tags=12%, list=10%, signal=11%","182/4609/8454/1856","I27"
"HALLMARK_PEROXISOME1","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",83,0.193274440319648,0.69764308620172,0.958393113342898,0.977952156472345,0.452946261945086,2508,"tags=19%, list=18%, signal=16%","3155/6258/1381/26986/10455/3295/2100/7555/3417/6342/2172/1742/2224/9961/11001/8800","I27"
"HALLMARK_BILE_ACID_METABOLISM1","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",73,0.165714160343989,0.586125772072027,0.994117647058824,0.994117647058824,0.460433436532508,3168,"tags=25%, list=23%, signal=19%","4734/6258/3295/3417/6342/2730/3991/654/9415/5947/11001/5191/8800/51268/5264/64577/50640/347734","I27"
