"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ONTOLOGY","CellLine"
"GO:0141091","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway",284,0.446814464324695,1.90475194428661,3.55259964911457e-09,6.45604245325457e-07,4.38890540383437e-07,3875,"tags=34%, list=20%, signal=27%","LOX/BMPR1B/SAP30/JUN/SPRY1/FOS/BMP4/LRRC32/FAM83G/TMPRSS6/ACVR1C/RBPJ/NOTCH2/RUNX2/SMAD7/SMAD6/CDH3/SMAD9/FOXH1/TGFBR3/LATS2/ERO1A/MSX1/NOG/TGIF2/LRP2/DAND5/TET1/ID1/MIR27B/FZD1/GPR155/PXN/GDF7/FGF10/CAV2/FOXD1/ETV2/EGR1/SMAD3/GATA6/ARK2C/ING1/ITGB5/PPARG/SFRP1/FLCN/DACT2/TGFB1I1/PMEPA1/DLX3/FSTL1/NPNT/FKBP1C/CHRDL1/ING2/GPC3/ATF2/FBXL15/CTDSPL2/APPL1/BMP6/NGLY1/SDCBP/HES1/XBP1/RBPMS2/FST/PRDM16/FERMT2/UBE2O/WIF1/ACVR1B/MTMR4/SPART/PELO/RASL11B/FSTL3/NUMA1/GREM2/SKIL/ZFYVE9/SNX25/DAB2/MAP3K7/NFIA/ONECUT2/ADAMTSL2/CHRD/RGMA/ILK/GDF5/SIN3A/HDAC2/ARRB2/SORL1","BP","iN #1"
"GO:0007565","GO:0007565","female pregnancy",134,0.554435132757591,2.14800748031364,4.03299923486681e-09,6.71830455874897e-07,4.56719474755531e-07,1600,"tags=20%, list=8%, signal=19%","VEGFA/ADM/STC2/STC1/SLC2A1/JUNB/ITGB3/HAVCR2/SYDE1/FOS/ACVR1C/TIMP1/THBD/FOSL1/TEAD4/TEAD3/SLC38A3/HSPG2/DSG1/EPOR/NR2F2/DSG2/PCSK5/RLN2/CORIN/FOSB/RARA","BP","iN #1"
"GO:0007178","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway",303,0.436594570724777,1.87612445826532,5.69649109895661e-09,8.75945054370328e-07,5.95479352935465e-07,3875,"tags=33%, list=20%, signal=27%","LOX/BMPR1B/SAP30/JUN/SPRY1/FOS/BMP4/LRRC32/FAM83G/TMPRSS6/ACVR1C/RBPJ/NOTCH2/RUNX2/SMAD7/SMAD6/CDH3/SMAD9/FOXH1/TGFBR3/LATS2/ERO1A/MSX1/NOG/TGIF2/LRP2/DAND5/TET1/ID1/MIR27B/FZD1/GPR155/PXN/GDF7/FGF10/CAV2/FOXD1/ETV2/EGR1/SMAD3/GATA6/ATOH8/ARK2C/ING1/ITGB5/PPARG/SFRP1/FLCN/DACT2/TGFB1I1/PMEPA1/DLX3/FSTL1/NPNT/FKBP1C/CHRDL1/ING2/GPC3/ATF2/FBXL15/CTDSPL2/APPL1/BMP6/NGLY1/SDCBP/HES1/XBP1/RBPMS/RBPMS2/FST/PRDM16/FERMT2/UBE2O/WIF1/ACVR1B/MTMR4/SPART/PELO/RASL11B/FSTL3/NUMA1/GREM2/SKIL/ZFYVE9/SNX25/DAB2/MAP3K7/NFIA/ONECUT2/WWTR1/ADAMTSL2/CHRD/RGMA/NUP93/ILK/GDF5/SIN3A/HDAC2/ARRB2/SORL1","BP","iN #1"
"GO:0044706","GO:0044706","multi-multicellular organism process",156,0.517468353883494,2.06496887797928,6.83649359568602e-09,9.76153621269739e-07,6.63602498648921e-07,1615,"tags=20%, list=8%, signal=18%","VEGFA/ADM/STC2/MAFF/STC1/SLC2A1/JUNB/ITGB3/HAVCR2/SYDE1/FOS/ACVR1C/TIMP1/THBD/FOSL1/TEKT3/TEAD4/TEAD3/EDN1/SLC38A3/HSPG2/DSG1/EPOR/NR2F2/DSG2/PCSK5/RLN2/CORIN/FOSB/RARA/HEXB","BP","iN #1"
"GO:0001938","GO:0001938","positive regulation of endothelial cell proliferation",74,0.632667925953526,2.23295911149259,1.00714965479572e-08,1.25927960798755e-06,8.56075392386683e-07,2360,"tags=34%, list=12%, signal=30%","VEGFA/ANG/HMGB2/ITGB3/EGR3/CXCL12/HTR2B/BMP4/HMOX1/HSPG2/MIR27B/FGF10/GATA2/CAV2/PLXNB3/NRP1/THBS4/NR4A1/PROK1/PROX1/RICTOR/NRP2/PDGFB/ARNT/BMP6","BP","iN #1"
"GO:0001890","GO:0001890","placenta development",120,0.562439837513873,2.14830231940834,1.00792765021515e-08,1.25927960798755e-06,8.56075392386683e-07,3609,"tags=36%, list=19%, signal=29%","ADM/ASCL2/ANG/STC2/STC1/JUNB/MDFI/CEBPB/EPAS1/EGLN1/RBPJ/TEX19/NOTCH2/HSD17B2/FOSL1/SOCS3/TFEB/GATA2/EPOR/STK3/E2F7/ETV2/NR2F2/PPARG/MAP2K1/FGFR2/DLX3/RBM15/CASP8/PDGFB/ARNT/HES1/KRT19/SNAI1/WNT7B/FZD5/SPINT1/SPINT2/CDKN1B/BIRC2/PTGS2/PKD1/MAPK1","BP","iN #1"
"GO:0050673","GO:0050673","epithelial cell proliferation",332,0.420478139087656,1.82412380072143,1.36166103378683e-08,1.51220022585548e-06,1.02801426585894e-06,2775,"tags=24%, list=14%, signal=21%","VEGFA/ANG/HMGB2/TNFAIP3/ZFP36/NR1D1/ITGB3/CEBPB/TBX2/EGR3/CXCL12/HTR2B/KLF9/HGF/BMP4/RBPJ/HMOX1/EAF2/NOTCH2/SHH/RUNX2/CDH3/TGFBR3/RREB1/HOXA5/NOG/TIE1/BRCA2/CCL2/SAV1/TGFA/HSPG2/MIR27B/KIT/FGF10/GATA2/STK3/CAV2/PLXNB3/IGFBP4/NR2F2/SMAD3/NRP1/THBS4/ATOH8/KDM5B/PROK2/APOH/NR4A1/PPARG/SFRP1/MAP2K1/WNT7A/IGFBP3/FLCN/PDCD10/PROK1/FGFR2/EDNRB/PROX1/RAP1GAP/LOXL2/GPC3/RICTOR/NME2/INTU/NRP2/DLL4/PDGFB/ARNT/BMP6/RASGRF1/PURA/SOX2/ATP7A/HES1/XBP1/FST/CDC73/CD34","BP","iN #1"
"GO:1903131","GO:1903131","mononuclear cell differentiation",368,0.411645537937682,1.8138624370013,1.31109133715981e-08,1.51220022585548e-06,1.02801426585894e-06,3128,"tags=26%, list=16%, signal=22%","VEGFA/ASCL2/FOSL2/JUNB/CEBPB/RORA/EGR3/FOS/BMP4/MERTK/CLEC4G/IRF8/BCL3/RBPJ/NOTCH2/MAFB/SHH/RUNX2/NFIL3/SMAD7/FOXO3/F2RL1/LYN/ITM2A/SOCS3/RASGRP1/FOXP1/NLRP3/CMTM7/BTN2A2/NCKAP1L/CD1D/MFNG/LTBR/CCR6/KIT/TNFSF13B/ITK/SOX13/ROR2/GATA2/INHA/EGR1/ZC3H12A/AXL/SOCS1/BATF3/HOXA7/ZBTB7B/LGALS1/RARA/CYP26B1/PPARG/SFRP1/LEPR/ZBTB16/RUNX1/JMJD6/TLR4/IRF2BP2/ST3GAL1/TNFSF4/IL11/CD46/IL15RA/DOCK11/ATF2/CASP8/HDAC5/JAK1/DLL4/CEBPG/ZC3H8/ZBTB1/LMBR1L/TNFSF9/CR1/PHF10/NR3C1/ATP7A/XBP1/TLR9/NFATC1/IL18R1/LAG3/IRF1/IL6R/TPD52/RC3H1/ZFPM1/IRF4/IL6ST/FZD5/TSPAN2/VSIR/BCL11B/QKI","BP","iN #1"
"GO:0002521","GO:0002521","leukocyte differentiation",437,0.388115884935623,1.7428421621105,2.52179938694014e-08,2.65319840762807e-06,1.80368033714112e-06,3128,"tags=24%, list=16%, signal=21%","VEGFA/ASCL2/FOSL2/JUNB/CEBPB/RORA/EGR3/FOS/BMP4/MERTK/CLEC4G/GPR137B/IRF8/BCL3/RBPJ/NOTCH2/MAFB/SHH/RUNX2/RRAS/NFIL3/SMAD7/FOXO3/KLF10/F2RL1/LYN/ITM2A/SOCS3/RASGRP1/FOXP1/NLRP3/CMTM7/BTN2A2/NCKAP1L/CD1D/MFNG/LTBR/CCR6/KIT/TNFSF13B/ITK/SOX13/ROR2/GATA2/INHA/EGR1/ZC3H12A/AXL/SOCS1/BATF3/HOXA7/ZBTB7B/LGALS1/RARA/CYP26B1/PPARG/SFRP1/LEPR/ZBTB16/RUNX1/JMJD6/TFRC/TLR4/IRF2BP2/ST3GAL1/TNFSF4/IL11/CD46/IL15RA/GPC3/DOCK11/ATF2/CASP8/HDAC5/JAK1/DLL4/CEBPG/ZC3H8/ZBTB1/LMBR1L/TNFSF9/CR1/PHF10/NR3C1/ATP7A/XBP1/TLR9/NFATC1/IL18R1/LAG3/PRDM16/IRF1/TMEM64/IL6R/TPD52/RC3H1/ZFPM1/IRF4/IL6ST/FZD5/ANXA2/TSPAN2/VSIR/BCL11B/QKI","BP","iN #1"
"GO:0003158","GO:0003158","endothelium development",110,0.561962198175581,2.121112954822,2.76391868298788e-08,2.76253672364639e-06,1.87801001038808e-06,2958,"tags=38%, list=15%, signal=32%","VEGFA/STC1/FZD2/ICAM1/CXCR4/BMP4/RBPJ/TJP2/F2RL1/FOXP1/TIE1/EDN1/HPSE/TJP3/FZD1/ETV2/NR2F2/MSN/NRP1/ATOH8/MET/PECAM1/PDCD10/EDNRB/VCL/PROC/PROX1/BTG1/FSTL1/F11R/S1PR1/CLIC4/HOXB5/DLL4/BMP6/STARD13/S1PR2/MYADM/CD34/GSTM3/KDM6B/EZR","BP","iN #1"
"GO:0060411","GO:0060411","cardiac septum morphogenesis",66,0.644087998020423,2.23213777566624,3.07728236005523e-08,2.9292797322621e-06,1.99136417385028e-06,2934,"tags=39%, list=15%, signal=33%","FZD2/TBX2/BMP4/EGLN1/DHRS3/RBPJ/NOTCH2/WNT11/SMAD7/SMAD6/TGFBR3/NOG/LRP2/SAV1/FZD1/GATA6/NRP1/RARA/FGFR2/PROX1/RBM15/RARB/NRP2/HES1/FGF8/ZFPM1","BP","iN #1"
"GO:0002064","GO:0002064","epithelial cell development",178,0.490149281529783,1.98180863715522,3.29362105093441e-08,2.99270385491722e-06,2.03448075442886e-06,3131,"tags=31%, list=16%, signal=26%","VEGFA/FOSL2/STC1/MYO1E/ICAM1/FRZB/EPAS1/CXCR4/BMP4/EXPH5/NOTCH2/VSIG1/TJP2/F2RL1/SPDEF/HOXA5/TYMS/HPSE/FLNA/TJP3/SIPA1/KLF5/VIM/RILPL1/GATA2/MSN/RARA/TFCP2L1/MET/PECAM1/WNT7A/DACT2/EDNRB/VCL/PROC/PROX1/F11R/SDC1/RARB/CLIC4/FRMD6/PDGFB/BMP6/S1PR2/ACTA2/MYADM/TLR9/WNT7B/GSTM3/FLNB/EZR/IL6ST/FZD5/BCL11B/SPINT2","BP","iN #1"
"GO:0060537","GO:0060537","muscle tissue development",351,0.411515845102902,1.79973495937035,4.21745190846515e-08,3.66551581087906e-06,2.49186746628307e-06,2965,"tags=23%, list=15%, signal=20%","VEGFA/FOSL2/MYOD1/MAFF/ATF3/LOX/SAP30/NOX4/METTL21C/TBX2/FHL2/DIPK2A/FOS/BMP4/EGLN1/VAMP5/RBPJ/CSRP2/NOTCH2/TIPARP/SHH/SMAD7/FOXH1/TGFBR3/CDK1/ERO1A/MSX1/NOG/FOXP1/LRP2/EDN1/SAV1/KLF5/MCUB/PIM1/CAV2/EGR1/NR2F2/PPP1R13L/DSG2/EFEMP2/HMG20B/SMAD3/MYBPC3/ACTN2/GATA6/RARA/NR4A1/CYP26B1/PITX1/RUNX1/BTG2/FGFR2/PROX1/NR1D2/HLF/JPH2/IGSF8/TCAP/NPPB/MAPK11/RARB/S1PR1/DSP/HDAC3/DLL4/NEBL/GPCPD1/RCAN1/ZBTB18/MYOM2/MSC/HOMER1/MTM1/PAX7/KDM6B/FGF8/VGLL4/FLNB/ZFPM1/CDON","BP","iN #1"
"GO:0001936","GO:0001936","regulation of endothelial cell proliferation",105,0.564122906943521,2.12233336282238,4.8303526500217e-08,3.88279603012339e-06,2.63957751238214e-06,2360,"tags=31%, list=12%, signal=28%","VEGFA/ANG/HMGB2/ITGB3/EGR3/CXCL12/HTR2B/BMP4/HMOX1/TIE1/CCL2/HSPG2/MIR27B/FGF10/GATA2/CAV2/PLXNB3/NR2F2/NRP1/THBS4/ATOH8/APOH/NR4A1/PPARG/PDCD10/PROK1/PROX1/RICTOR/NRP2/DLL4/PDGFB/ARNT/BMP6","BP","iN #1"
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation",277,0.430530543245323,1.8284688631138,4.85592299915381e-08,3.88279603012339e-06,2.63957751238214e-06,2637,"tags=24%, list=14%, signal=21%","VEGFA/ANG/HMGB2/TNFAIP3/ZFP36/NR1D1/ITGB3/EGR3/CXCL12/HTR2B/KLF9/BMP4/RBPJ/HMOX1/EAF2/NOTCH2/SHH/RUNX2/CDH3/TGFBR3/RREB1/HOXA5/NOG/TIE1/BRCA2/CCL2/SAV1/TGFA/HSPG2/MIR27B/FGF10/GATA2/STK3/CAV2/PLXNB3/NR2F2/SMAD3/NRP1/THBS4/ATOH8/KDM5B/APOH/NR4A1/PPARG/SFRP1/WNT7A/FLCN/PDCD10/PROK1/FGFR2/EDNRB/PROX1/RAP1GAP/GPC3/RICTOR/NME2/INTU/NRP2/DLL4/PDGFB/ARNT/BMP6/SOX2/ATP7A/HES1/XBP1","BP","iN #1"
"GO:0048545","GO:0048545","response to steroid hormone",277,0.426755802725054,1.81243749062251,8.5991911378453e-08,6.36658632761213e-06,4.32809191382389e-06,3505,"tags=29%, list=18%, signal=24%","ADM/FOSL2/DDIT4/MYOD1/STC1/HMGB2/LOX/JUNB/ZFP36/KDM3A/NR1D1/PTGER2/METTL21C/TBX2/JUN/KLF9/SCNN1G/FOS/DAXX/FOXO3/FOXH1/GAD2/FOSL1/FOXP1/GNRH1/TYMS/EDN1/PER1/PTPRU/KDM4C/PIAS2/TMF1/DSG1/DSG2/SREBF1/SCNN1B/COL1A1/FOSB/JUND/RELA/SFRP1/GPI/SSTR5/CYP1B1/HTR1B/PMEPA1/BCHE/AXIN2/SDC1/ESRRB/AANAT/BMP6/RXRA/NR3C2/NR3C1/CRY2/SMYD3/IGFBP2/GLB1/WNT7B/MGARP/TRERF1/IGFBP7/PKN1/REST/GHR/UFSP2/SST/NCOR2/RXRG/ESR2/TRIM68/TFAP4/DAB2/CNOT2/UBR5/UFL1/ERRFI1/PTGS2","BP","iN #1"
"GO:0030098","GO:0030098","lymphocyte differentiation",300,0.416502670370737,1.78956170864204,8.41872067372546e-08,6.36658632761213e-06,4.32809191382389e-06,3114,"tags=27%, list=16%, signal=23%","ASCL2/FOSL2/JUNB/RORA/EGR3/BMP4/MERTK/CLEC4G/IRF8/BCL3/RBPJ/NOTCH2/MAFB/SHH/RUNX2/NFIL3/SMAD7/FOXO3/ITM2A/SOCS3/RASGRP1/FOXP1/NLRP3/CMTM7/BTN2A2/NCKAP1L/CD1D/MFNG/CCR6/KIT/TNFSF13B/ITK/SOX13/INHA/EGR1/ZC3H12A/AXL/SOCS1/ZBTB7B/LGALS1/RARA/CYP26B1/SFRP1/LEPR/ZBTB16/RUNX1/JMJD6/IRF2BP2/ST3GAL1/TNFSF4/IL11/CD46/IL15RA/DOCK11/ATF2/HDAC5/JAK1/DLL4/CEBPG/ZC3H8/ZBTB1/LMBR1L/TNFSF9/CR1/PHF10/ATP7A/XBP1/TLR9/IL18R1/LAG3/IRF1/IL6R/TPD52/RC3H1/ZFPM1/IRF4/IL6ST/FZD5/VSIR/BCL11B","BP","iN #1"
"GO:0045446","GO:0045446","endothelial cell differentiation",93,0.581325659821383,2.13500214280741,1.15595283584742e-07,8.25267756735356e-06,5.61028237247753e-06,2958,"tags=39%, list=15%, signal=33%","VEGFA/STC1/FZD2/ICAM1/CXCR4/BMP4/RBPJ/TJP2/F2RL1/TIE1/HPSE/TJP3/FZD1/ETV2/NR2F2/MSN/NRP1/ATOH8/MET/PECAM1/EDNRB/VCL/PROC/PROX1/BTG1/FSTL1/F11R/S1PR1/CLIC4/HOXB5/BMP6/S1PR2/MYADM/GSTM3/KDM6B/EZR","BP","iN #1"
"GO:0014706","GO:0014706","striated muscle tissue development",334,0.404740880222568,1.75016911859141,1.36968572613811e-07,9.4413854018968e-06,6.41838211413537e-06,2965,"tags=23%, list=15%, signal=20%","VEGFA/MYOD1/MAFF/ATF3/LOX/SAP30/NOX4/METTL21C/TBX2/FHL2/DIPK2A/FOS/BMP4/EGLN1/VAMP5/RBPJ/NOTCH2/SHH/SMAD7/FOXH1/TGFBR3/CDK1/ERO1A/MSX1/NOG/FOXP1/LRP2/EDN1/SAV1/KLF5/MCUB/PIM1/CAV2/EGR1/NR2F2/PPP1R13L/DSG2/HMG20B/SMAD3/MYBPC3/ACTN2/GATA6/RARA/NR4A1/CYP26B1/PITX1/RUNX1/BTG2/FGFR2/PROX1/NR1D2/HLF/JPH2/IGSF8/TCAP/NPPB/MAPK11/RARB/S1PR1/DSP/HDAC3/DLL4/NEBL/GPCPD1/RCAN1/ZBTB18/MYOM2/MSC/HOMER1/MTM1/PAX7/KDM6B/FGF8/VGLL4/FLNB/ZFPM1/CDON","BP","iN #1"
"GO:0001935","GO:0001935","endothelial cell proliferation",124,0.522064345926318,2.00341515408124,1.47128418352139e-07,9.80365694286421e-06,6.66465923131971e-06,2360,"tags=28%, list=12%, signal=25%","VEGFA/ANG/HMGB2/ITGB3/EGR3/CXCL12/HTR2B/BMP4/HMOX1/TIE1/CCL2/HSPG2/MIR27B/FGF10/GATA2/CAV2/PLXNB3/NR2F2/NRP1/THBS4/ATOH8/PROK2/APOH/NR4A1/PPARG/PDCD10/PROK1/PROX1/LOXL2/RICTOR/NRP2/DLL4/PDGFB/ARNT/BMP6","BP","iN #1"
