TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr11 C|11 51.82 cM	mouse chr11 C|11 51.82 cM	0.00328052091764588	-5.71975305284062	9	4	0.00214132762312634	1868	24140	76892,75909,67300,77864	Rnft1,Vmp1,Cltc,Ypel2
mouse chr5 C3.1|5 32.8 cM	mouse chr5 C3.1|5 32.8 cM	0.00410706125302482	-5.49504752982022	5	3	0.00160599571734475	1868	24140	57915,66681,100532	Tbc1d1,Pgm2,Rell1
mouse chr14 A3|14 16.09 cM	mouse chr14 A3|14 16.09 cM	0.005134439978543	-5.27178450122909	10	4	0.00214132762312634	1868	24140	171463,71704,211948,72993	Il17rd,Arhgef3,Pde12,Appl1
mouse chr1 E4|1 56.89 cM	mouse chr1 E4|1 56.89 cM	0.00584799738363117	-5.14165600393025	16	5	0.00267665952890792	1868	24140	17164,18640,12270,226418,212439	Mapkapk2,Pfkfb2,C4bp-ps1,Yod1,AA986860
mouse chr16 B2|16 21.26 cM	mouse chr16 B2|16 21.26 cM	0.0059850068159871	-5.11849780112789	2	2	0.00107066381156317	1868	24140	224088,14729	Atp13a3,Gp5
mouse chr9 B|9 33.5 cM	mouse chr9 B|9 33.5 cM	0.0059850068159871	-5.11849780112789	2	2	0.00107066381156317	1868	24140	71819,56040	Kif23,Rplp1
mouse chr13 A3.3|13 14.0 cM	mouse chr13 A3.3|13 14.0 cM	0.0059850068159871	-5.11849780112789	2	2	0.00107066381156317	1868	24140	20719,68808	Serpinb6a,1110046J04Rik
mouse chr5 B2|5 17.89 cM	mouse chr5 B2|5 17.89 cM	0.0059850068159871	-5.11849780112789	2	2	0.00107066381156317	1868	24140	24055,231130	Sh3bp2,Tnip2
mouse chr10 D3|10 76.51 cM	mouse chr10 D3|10 76.51 cM	0.0059850068159871	-5.11849780112789	2	2	0.00107066381156317	1868	24140	83430,103135	Il23a,Pan2
mouse chr1 B|1 12.81 cM	mouse chr1 B|1 12.81 cM	0.0059850068159871	-5.11849780112789	2	2	0.00107066381156317	1868	24140	213539,98403	Bag2,Zfp451
mouse chr13 D2.1|13 58.06 cM	mouse chr13 D2.1|13 58.06 cM	0.0059850068159871	-5.11849780112789	2	2	0.00107066381156317	1868	24140	66254,16563	Dimt1,Kif2a
mouse chr7 A3|7 13.78 cM	mouse chr7 A3|7 13.78 cM	0.0059850068159871	-5.11849780112789	2	2	0.00107066381156317	1868	24140	16890,72383	Lipe,Cnfn
mouse chr4 D2.3|4 65.16 cM	mouse chr4 D2.3|4 65.16 cM	0.00774200980133796	-4.86109396083188	6	3	0.00160599571734475	1868	24140	100310813,100217440,100039864	Snora16a,Snora61,Snhg12
mouse chr16 B2|16 22.4 cM	mouse chr16 B2|16 22.4 cM	0.0106790353442811	-4.53947277309869	12	4	0.00214132762312634	1868	24140	101669761,30060,320213,224105	Gm15694,Meltf,Senp5,Pak2
mouse chr14 C1|14 24.6 cM	mouse chr14 C1|14 24.6 cM	0.0106790353442811	-4.53947277309869	12	4	0.00214132762312634	1868	24140	67296,16709,14528,16854	Socs4,Ktn1,Gch1,Lgals3
mouse chr11 B1.3|11 32.13 cM	mouse chr11 B1.3|11 32.13 cM	0.0128186013403467	-4.35685793325838	19	5	0.00267665952890792	1868	24140	12981,18452,30794,72729,216742	Csf2,P4ha2,Pdlim4,Cdc42se2,Fnip1
mouse chr18 B3|18 19.54 cM	mouse chr18 B3|18 19.54 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	83885,24074	Slc25a2,Taf7
mouse chr8 E1|8 71.91 cM	mouse chr8 E1|8 71.91 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	67177,11821	Cdt1,Aprt
mouse chr7 F3|7 76.32 cM	mouse chr7 F3|7 76.32 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	13017,360216	Ctbp2,Zranb1
mouse chr5 E4|5 48.48 cM	mouse chr5 E4|5 48.48 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	231506,100503199	Lin54,5430416N02Rik
mouse chr10 A1|10 3.66 cM	mouse chr10 A1|10 3.66 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	13853,71865	Epm2a,Fbxo30
mouse chr11 D|11 63.44 cM	mouse chr11 D|11 63.44 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	16666,16667	Krt16,Krt17
mouse chr2 H4|2 103.62 cM	mouse chr2 H4|2 103.62 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	20459,20811	Ptk6,Srms
mouse chr4 E1|4 78.67 cM	mouse chr4 E1|4 78.67 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	17769,26372	Mthfr,Clcn6
mouse chr9 E1|9 43.82 cM	mouse chr9 E1|9 43.82 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	69981,12816	Tmem30a,Col12a1
mouse chr10 C1|10 40.66 cM	mouse chr10 C1|10 40.66 cM	0.017029672637466	-4.07279800718954	3	2	0.00107066381156317	1868	24140	58250,66341	Chst11,Eid3
mouse chr3 G1|3 52.94 cM	mouse chr3 G1|3 52.94 cM	0.0190701770240851	-3.95962957655578	14	4	0.00214132762312634	1868	24140	14066,14630,99480,214137	F3,Gclm,Dnttip2,Arhgap29
mouse chr5 C3.2|5 38.44 cM	mouse chr5 C3.2|5 38.44 cM	0.0190701770240851	-3.95962957655578	14	4	0.00214132762312634	1868	24140	70701,21682,100978,75991	Nipal1,Tec,Nfxl1,Slain2
mouse chr16 B3|16 25.43 cM	mouse chr16 B3|16 25.43 cM	0.0190701770240851	-3.95962957655578	14	4	0.00214132762312634	1868	24140	70186,16646,224132,381045	Fam162a,Kpna1,Slc49a4,Mix23
mouse chr15 E2|15 40.25 cM	mouse chr15 E2|15 40.25 cM	0.019272270999341	-3.94908795195124	8	3	0.00160599571734475	1868	24140	100526461,73225,18141	Mir1249,Fam118a,Nup50
mouse chr12 B1|12 18.06 cM	mouse chr12 B1|12 18.06 cM	0.019272270999341	-3.94908795195124	8	3	0.00160599571734475	1868	24140	15982,100316693,380755	Ifrd1,Mir1938,Lsmem1
mouse chr7 E3|7 57.7 cM	mouse chr7 E3|7 57.7 cM	0.019272270999341	-3.94908795195124	8	3	0.00160599571734475	1868	24140	233726,20841,11535	Ipo7,Zfp143,Adm
mouse chr9 E1|9 43.65 cM	mouse chr9 E1|9 43.65 cM	0.024444480816142	-3.71135082203402	15	4	0.00214132762312634	1868	24140	14857,235505,18379,13627	Gsta1,Cd109,Omt2a,Eef1a1
mouse chr17 E1.3|17 41.87 cM	mouse chr17 E1.3|17 41.87 cM	0.024444480816142	-3.71135082203402	15	4	0.00214132762312634	1868	24140	67268,64898,21815,68789	Myl12a,Lpin2,Tgif1,Trmt61b
mouse chr10 A3|10 9.75 cM	mouse chr10 A3|10 9.75 cM	0.0272681460396602	-3.60203606978007	9	3	0.00160599571734475	1868	24140	56422,237320,71804	Hbs1l,Aldh8a1,Mtfr2
mouse chr15 A1|15 5.35 cM	mouse chr15 A1|15 5.35 cM	0.0272681460396602	-3.60203606978007	9	3	0.00160599571734475	1868	24140	75646,67832,78244	Rai14,Brix1,Dnajc21
mouse chr19 A|19 5.44 cM	mouse chr19 A|19 5.44 cM	0.0272681460396602	-3.60203606978007	9	3	0.00160599571734475	1868	24140	17254,83673,100127111	Slc3a2,Snhg1,Snord22
mouse chr7 D3|7 45.71 cM	mouse chr7 D3|7 45.71 cM	0.0286914849374608	-3.5511548923129	23	5	0.00267665952890792	1868	24140	29877,116904,434204,233410,12877	Hdgfl3,Alpk3,Whamm,Zfp592,Cpeb1
mouse chr2 G3|2 74.83 cM	mouse chr2 G3|2 74.83 cM	0.0286914849374608	-3.5511548923129	23	5	0.00267665952890792	1868	24140	14225,228775,73847,228765,108832	Fkbp1a,Trib3,Fam110a,Sdcbp2,Tmem74b
mouse chr11 D|11 59.01 cM	mouse chr11 D|11 59.01 cM	0.0286914849374608	-3.5511548923129	23	5	0.00267665952890792	1868	24140	18053,237928,104079,268469,217127	Ngfr,Phospho1,Nxph3,Zfp652,Kat7
mouse chr10 D2|10 66.32 cM	mouse chr10 D2|10 66.32 cM	0.0323158982987462	-3.43219596245633	4	2	0.00107066381156317	1868	24140	215449,17246	Rap1b,Mdm2
mouse chr4 A2|4 6.66 cM	mouse chr4 A2|4 6.66 cM	0.0323158982987462	-3.43219596245633	4	2	0.00107066381156317	1868	24140	27354,209212	Nbn,Osgin2
mouse chr11 B3|11 42.96 cM	mouse chr11 B3|11 42.96 cM	0.0323158982987462	-3.43219596245633	4	2	0.00107066381156317	1868	24140	13385,13543	Dlg4,Dvl2
mouse chr7 B3|7 29.3 cM	mouse chr7 B3|7 29.3 cM	0.0323158982987462	-3.43219596245633	4	2	0.00107066381156317	1868	24140	16495,20174	Kcna7,Ruvbl2
mouse chr9 A3|9 7.66 cM	mouse chr9 A3|9 7.66 cM	0.0323158982987462	-3.43219596245633	4	2	0.00107066381156317	1868	24140	70726,235036	Angptl6,Ppan
mouse chr7 E3|7 55.97 cM	mouse chr7 E3|7 55.97 cM	0.0323158982987462	-3.43219596245633	4	2	0.00107066381156317	1868	24140	16202,101867	Ilk,Rrp8
mouse chr10 C1|10 39.72 cM	mouse chr10 C1|10 39.72 cM	0.0365339426761063	-3.30951351418493	200	23	0.0123126338329764	1868	24140	70312,71912,12798,59004,13014,108705,13629,57267,237400,19205,13496,69564,59090,66548,12215,208266,216134,83554,18641,17873,22213,118445,70294	Cactin,Jsrp1,Cnn2,Pias4,Cstb,Pttg1ip,Eef2,Apba3,Mex3d,Ptbp1,Arid3a,Nmrk2,Midn,Adamtsl5,Bsg,Dot1l,Pdxk,Fstl3,Pfkl,Gadd45b,Ube2g2,Klf16,Rnf126
mouse chr5 A3|5 9.83 cM	mouse chr5 A3|5 9.83 cM	0.0367540200667604	-3.30350766973418	10	3	0.00160599571734475	1868	24140	212090,68770,19248	Tmem60,Phtf2,Ptpn12
mouse chr4	mouse chr4	0.0459062429399293	-3.08115415940123	1395	125	0.0669164882226981	1868	24140	100217440,212632,68268,17965,230125,67490,20104,72157,21894,230734,65973,230784,100169,70122,73205,11639,71801,66362,320713,56323,70012,12014,56036,242521,108079,21938,100310813,230863,100213,19359,230857,29864,16600,73314,14579,100039864,625638,57295,230936,17776,93760,114143,242785,230700,50798,71148,74178,76793,72098,242418,69743,26372,67149,22642,230908,66259,12801,56228,29876,14409,230126,381605,100017,18392,231002,242748,12795,17149,16918,12012,20525,208890,52076,242297,106021,18491,13806,74155,677884,56809,76804,13836,68350,11876,230721,18124,27354,66588,17769,68394,230257,433693,230088,21916,67123,209212,75234,100088,74164,57317,15356,503610,71901,242736,14664,14748,50927,414872,108767,67628,230099,94242,246228,21923,13542,109263,99982,399101,16476,230098,353204,12331,68943,230379,22004	Snora61,Iffo2,Zdhhc21,Nbl1,Slc25a51,Ufl1,Rps6,Pgm1,Tln1,Yrdc,Asph,Sesn2,Phactr4,Mllt3,C9orf72,Ak4,Plekhf2,Exosc3,Mysm1,Dnajb5,Cep85,Bach2,Ccnl2,Klhl9,Prkaa2,Tnfrsf1b,Snora16a,Sh2d5,Rusc2,Rad23b,Ece1,Rnf11,Klf4,Lrrc69,Gem,Snhg12,Fam43b,Icmt,Phf13,Mast2,Arid1a,Atp6v0b,Klhl21,Foxj3,Gne,Mier1,Stk40,Snip1,Tmem68,Dcaf10,Casz1,Clcn6,Nkain1,Zbtb17,Tardbp,Camk2n1,Cnr1,Ube2j1,Clic4,Gabrr2,Shb,Tbc1d2,Ldlrap1,Orc1,Plekhn1,Disp3,Plk3,Magoh,Mycl,Baat,Slc2a1,Slc26a7,Tmem38b,Fam110b,Topors,Pappa,Eno1,Errfi1,Pakap,Gmeb1,Kdm4c,Epha2,Mul1,Artn,Pabpc4,Nr4a3,Nbn,Cmpk1,Mthfr,Ccdc163,Ptbp3,Akirin2,Atosb,Tmod1,Ubap1,Osgin2,Rnf19b,Rcc1,Nfx1,Srsf4,Hmgcl,Zdhhc18,Fam219a,Pramel12,Slc6a9,Gpr3,Nasp,Zyg11b,Pnrc1,Anp32b,Car9,Tinagl1,Vwa1,Tnc,Dvl1,Rlf,Kdm1a,Snhg3,Jun,Arhgef39,Aldoart1,Cap1,Pink1,Acer2,Tpm2
mouse chr1 H3|1 76.84 cM	mouse chr1 H3|1 76.84 cM	0.0476949123803755	-3.04293054546862	11	3	0.00160599571734475	1868	24140	665574,70729,107652	Gm7694,Nos1ap,Uap1
mouse chr15 D2|15 29.3 cM	mouse chr15 D2|15 29.3 cM	0.0511217896644125	-2.97354446044091	5	2	0.00107066381156317	1868	24140	20442,17988	St3gal1,Ndrg1
mouse chr12 F2|12 62.65 cM	mouse chr12 F2|12 62.65 cM	0.0511217896644125	-2.97354446044091	5	2	0.00107066381156317	1868	24140	76044,52635	Ncapg2,Esyt2
mouse chr9 D|9 39.53 cM	mouse chr9 D|9 39.53 cM	0.0511217896644125	-2.97354446044091	5	2	0.00107066381156317	1868	24140	235461,93836	Mindy2,Rnf111
mouse chr19 A|19 4.33 cM	mouse chr19 A|19 4.33 cM	0.0511217896644125	-2.97354446044091	5	2	0.00107066381156317	1868	24140	14283,240514	Fosl1,Ccdc85b
mouse chr2 F2|2 64.15 cM	mouse chr2 F2|2 64.15 cM	0.0511217896644125	-2.97354446044091	5	2	0.00107066381156317	1868	24140	18538,110911	Pcna,Cds2
mouse chr13|13 D2.3	mouse chr13|13 D2.3	0.0511217896644125	-2.97354446044091	5	2	0.00107066381156317	1868	24140	72465,56838	Zfp131,Ccl28
mouse chr1 E3|1 55.8 cM	mouse chr1 E3|1 55.8 cM	0.0600335380561375	-2.81285190532194	12	3	0.00160599571734475	1868	24140	226412,67812,72949	R3hdm1,Ubxn4,Ccnt2
mouse chr11 C|11 51.34 cM	mouse chr11 C|11 51.34 cM	0.0638750195755354	-2.75082692399201	20	4	0.00214132762312634	1868	24140	66884,53892,217039,192970	Appbp2,Ppm1d,Ggnbp2,Dhrs11
mouse chr8 A1.1|8 1.99 cM	mouse chr8 A1.1|8 1.99 cM	0.072811679595657	-2.61987890264138	6	2	0.00107066381156317	1868	24140	26400,330695	Map2k7,Ctxn1
mouse chr10 C1|10 41.63 cM	mouse chr10 C1|10 41.63 cM	0.072811679595657	-2.61987890264138	6	2	0.00107066381156317	1868	24140	103266,12952	Tmem263,Cry1
mouse chr13 B3|13 35.55 cM	mouse chr13 B3|13 35.55 cM	0.072811679595657	-2.61987890264138	6	2	0.00107066381156317	1868	24140	210044,28114	Adcy2,Nsun2
mouse chr12 B3|12 22.11 cM	mouse chr12 B3|12 22.11 cM	0.072811679595657	-2.61987890264138	6	2	0.00107066381156317	1868	24140	207304,217558	Hectd1,G2e3
mouse chr1 D|1 44.44 cM	mouse chr1 D|1 44.44 cM	0.072811679595657	-2.61987890264138	6	2	0.00107066381156317	1868	24140	77040,227333	Atg16l1,Dgkd
mouse chr14 D1|14 34.6 cM	mouse chr14 D1|14 34.6 cM	0.072811679595657	-2.61987890264138	6	2	0.00107066381156317	1868	24140	12177,11549	Bnip3l,Adra1a
mouse chr2 F1|2 63.26 cM	mouse chr2 F1|2 63.26 cM	0.072811679595657	-2.61987890264138	6	2	0.00107066381156317	1868	24140	11990,100043766	Atrn,Gm14057
mouse chr5 E1|5 44.78 cM	mouse chr5 E1|5 44.78 cM	0.073695415882229	-2.60781468141971	13	3	0.00160599571734475	1868	24140	13874,20310,14825	Ereg,Cxcl2,Cxcl1
mouse chr11 D|11 63.95 cM	mouse chr11 D|11 63.95 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	19285	Cavin1
mouse chr13 A5|13 21.66 cM	mouse chr13 A5|13 21.66 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	16468	Jarid2
mouse chr1 C1.1|1 23.5 cM	mouse chr1 C1.1|1 23.5 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	22019	Tpp2
mouse chr2 B|2 22.46 cM	mouse chr2 B|2 22.46 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	71834	Zbtb43
mouse chr10 A3|10 7.42 cM	mouse chr10 A3|10 7.42 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	19707	Reps1
mouse chr19 A|19 3.16 cM	mouse chr19 A|19 3.16 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	14419	Gal
mouse chr5 G2|5 75.84 cM	mouse chr5 G2|5 75.84 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	269717	Orai2
mouse chr14 B|14 19.14 cM	mouse chr14 B|14 19.14 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	74427	Eaf1
mouse chr1 81.66 cM|1 H3	mouse chr1 81.66 cM|1 H3	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	13603	Opn3
mouse chr15 E1|15 38.21 cM	mouse chr15 E1|15 38.21 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	19387	Rangap1
mouse chr1 C5|1 44.08 cM	mouse chr1 C5|1 44.08 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	26987	Eif4e2
mouse chr5 G2|5 75.02 cM	mouse chr5 G2|5 75.02 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	27368	Tbl2
mouse chr13 A3.3|13 18.04 cM	mouse chr13 A3.3|13 18.04 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	67797	Snrnp48
mouse chr4 B1|4 26.51 cM	mouse chr4 B1|4 26.51 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	12012	Baat
